head_word	match	diphthong?	V1	V2	preV1	postV2
llí̵-i-zai-de	í̵-i	no	í̵	i	l	z	
llí̵-i-zai-de	ai	yes	a	i	z	d	
dáa-e-ri-ze	áa	yes	á	a	d	e	
dáa-e-ri-ze	a-e	no	a	e	á	r	
jɨ-llí-ri-raɨ-ngo	aɨ	yes	a	ɨ	r	n	
rí̵-aɨ	í̵-a	no	í̵	a	r	ɨ	
rí̵-aɨ	aɨ	yes	a	ɨ	í̵	#	
rai-vá-de	ai	yes	a	i	r	v	
jí-zai-da-gɨ-roɨ	ai	yes	a	i	z	d	
jí-zai-da-gɨ-roɨ	oɨ	yes	o	ɨ	r	#	
záɨ-e	áɨ	yes	á	ɨ	z	e	
záɨ-e	ɨ-e	no	ɨ	e	á	#	
í-aɨ-ngu-aɨ	í-a	no	í	a	#	ɨ	
í-aɨ-ngu-aɨ	aɨ	yes	a	ɨ	í	n	
í-aɨ-ngu-aɨ	u-a	no	u	a	g	ɨ	
í-aɨ-ngu-aɨ	aɨ	yes	a	ɨ	u	#	
ze-fuí-nai-te	uí	yes	u	í	f	n	
ze-fuí-nai-te	ai	yes	a	i	n	t	
che-dó-ra-nɨ-aɨ	ɨ-a	no	ɨ	a	n	ɨ	
che-dó-ra-nɨ-aɨ	aɨ	yes	a	ɨ	ɨ	#	
e-gó-co-raɨ	aɨ	yes	a	ɨ	r	#	
í̵-coɨ	oɨ	yes	o	ɨ	c	#	
ñú-e-ri-e	ú-e	no	ú	e	ñ	r	
ñú-e-ri-e	i-e	no	i	e	r	#	
cui-rí̵-no-te	ui	yes	u	i	c	r	
zai-zí̵-dai-te	ai	yes	a	i	z	z	
zai-zí̵-dai-te	ai	yes	a	i	d	t	
ú-ri-lla-fue	ue	yes	u	e	f	#	
gua-má-jɨ	ua	yes	u	a	g	m	
ɨ-áɨ-ba-ma	ɨ-á	no	ɨ	á	#	ɨ	
ɨ-áɨ-ba-ma	áɨ	yes	á	ɨ	ɨ	b	
ó-cui	ui	yes	u	i	c	#	
o-llí̵-rui	ui	yes	u	i	r	#	
vi-ú-de	i-ú	no	i	ú	v	d	
í-cai-be	ai	yes	a	i	c	b	
já-cue-re-ño	ue	yes	u	e	c	r	
cai-rí-re	ai	yes	a	i	c	r	
co-fái-de	ái	yes	á	i	f	d	
jáɨ-aɨ-re-de	áɨ	yes	á	ɨ	j	a	
jáɨ-aɨ-re-de	ɨ-a	no	ɨ	a	á	ɨ	
jáɨ-aɨ-re-de	aɨ	yes	a	ɨ	ɨ	r	
báɨ	áɨ	yes	á	ɨ	b	#	
cúee-go-ma	úe	yes	ú	e	c	e	
cúee-go-ma	ee	yes	e	e	ú	g	
jí̵ɨ-chi-cai-ro	í̵ɨ	yes	í̵	ɨ	j	c	
jí̵ɨ-chi-cai-ro	ai	yes	a	i	c	r	
bí̵-jɨ-zaɨ-bi-de	aɨ	yes	a	ɨ	z	b	
jú-zi-e	i-e	no	i	e	z	#	
gaɨ-rí-ra-bɨ-rɨ	aɨ	yes	a	ɨ	g	r	
aɨ-dái-ma	aɨ	yes	a	ɨ	#	d	
aɨ-dái-ma	ái	yes	á	i	d	m	
dáɨ-llɨ-noɨ	áɨ	yes	á	ɨ	d	l	
dáɨ-llɨ-noɨ	oɨ	yes	o	ɨ	n	#	
aɨ-má-co	aɨ	yes	a	ɨ	#	m	
mái-ña	ái	yes	á	i	m	ñ	
bo-llái-re-dɨ-co-no	ái	yes	á	i	l	r	
táɨ-no-cai-de	áɨ	yes	á	ɨ	t	n	
táɨ-no-cai-de	ai	yes	a	i	c	d	
púu-pu-de	úu	yes	ú	u	p	p	
goi-ó-gɨ	oi	yes	o	i	g	ó	
